date,spx_idx,spx_mkcap,fedbs,fedfundsrate,us10y,gdp_growth_real,gdp_growth_nom,gdp_real,gdp_nom,debt_gdp,short_debt,govexp_gdp,home_median,home_single_median,home_single_ave,median_earning
2016-03-31,1951.224918032787,4486483.538461538,4486483.538461538,0.3658064516129032,1.9109230769230767,2.4,1.9122727272727271,17565.5,18425.31,18.12,5227425.0,318.69,215.73333333333335,217.16666666666666,259.76666666666665,823.0
2016-06-30,2075.1315625,4475797.692307692,4475797.692307692,0.37,1.7464615384615385,1.2,1.7821212121212122,17618.6,18611.62,17.87,5462630.0,310.80333333333334,239.13333333333333,240.70000000000002,282.4666666666667,828.0
2016-09-30,2162.0568749999998,4468329.692307692,4468329.692307692,0.3953125,1.557878787878788,2.4,1.588358208955224,17724.5,18775.46,18.24,5354250.0,328.1466666666667,239.46666666666667,241.29999999999998,282.3666666666667,834.0
2016-12-31,2184.8785714285714,4457910.769230769,4457910.769230769,0.4491803278688524,2.136923076923077,2.0,2.168181818181818,17812.6,18968.04,19.17,5196128.0,316.8666666666667,233.9333333333333,235.4,276.4666666666667,845.0
2017-03-31,2325.9279032258064,4460614.615384615,4460614.615384615,0.7038709677419355,2.4412307692307693,1.9,2.464848484848485,17896.6,19153.91,18.74,5266257.0,349.7966666666666,230.70000000000002,232.16666666666666,273.26666666666665,858.0
2017-06-30,2397.9709523809524,4471341.0,4471341.0,0.9528125000000001,2.255692307692308,2.3,2.276060606060606,17996.8,19322.92,18.52,5336911.0,343.6366666666666,253.6,255.36666666666667,296.3666666666667,863.0
2017-09-30,2467.1746031746034,4463849.461538462,4463849.461538462,1.1555555555555554,2.237846153846154,2.9,2.2796969696969698,18126.2,19558.69,18.53,5419986.0,316.6066666666666,252.9333333333333,254.73333333333335,295.3666666666667,864.0
2017-12-31,2603.2773015873017,4452972.0,4452972.0,1.201774193548387,2.370615384615385,3.8,2.4377272727272725,18296.7,19882.97,19.08,5464628.0,331.49,246.5666666666667,247.76666666666665,289.06666666666666,854.0
2018-03-31,2733.476721311475,4418993.153846154,4418993.153846154,1.4479032258064515,2.7503076923076923,3.1,2.788939393939394,18436.3,20143.72,19.82,5716915.0,367.41333333333336,243.80000000000004,245.33333333333334,284.90000000000003,875.0
2018-06-30,2703.13125,4346986.615384615,4346986.615384615,1.7371874999999999,2.921692307692308,3.4,2.985,18590.0,20492.49,19.88,5901268.0,350.40000000000003,265.59999999999997,268.03333333333336,305.8333333333333,881.0
2018-09-30,2849.6014285714286,4243144.307692308,4243144.307692308,1.9234920634920634,2.9198461538461538,1.9,2.9256060606060608,18679.6,20659.1,20.29,5918630.0,319.9433333333333,263.93333333333334,266.46666666666664,304.0,891.0
2018-12-31,2698.9261904761906,4128101.6153846155,4128101.6153846155,2.2170967741935486,3.038787878787879,0.9,3.0382089552238805,18721.3,20813.33,20.6,6077029.0,363.3866666666667,255.73333333333335,258.0,295.73333333333335,897.0
2019-03-31,2721.004426229508,4009351.076923077,4009351.076923077,2.4013114754098357,2.65,2.4,2.6661538461538465,18833.2,21001.59,20.85,6252800.0,369.43333333333334,253.0666666666667,254.9,292.2,899.0
2019-06-30,2882.3277777777776,3881489.3076923075,3881489.3076923075,2.3978125,2.338153846153846,3.2,2.3875757575757572,18982.5,21289.27,20.42,6279250.0,385.8333333333333,276.8666666666666,279.5,315.3,913.0
2019-09-30,2957.8528125,3795757.5384615385,3795757.5384615385,2.1978125,1.7924242424242425,2.8,1.826865671641791,19112.7,21505.01,20.26,6297460.0,363.5366666666667,276.90000000000003,279.96666666666664,315.06666666666666,922.0
2019-12-31,3082.755625,4037312.230769231,4037312.230769231,1.6504838709677419,1.791060606060606,1.9,1.8180597014925373,19202.3,21694.46,20.99,6406190.0,387.7,272.3,274.9666666666667,310.3333333333333,934.0
2020-03-31,3055.869193548387,4304005.615384615,4304005.615384615,1.2329032258064516,1.384153846153846,-5.1,1.3040909090909092,18952.0,21481.37,21.73,7245300.0,394.62000000000006,272.46666666666664,274.6333333333334,309.3,951.0
2020-06-30,2931.687619047619,6753312.769230769,6753312.769230769,0.058750000000000004,0.6813846153846154,-31.2,0.1801515151515152,17258.2,19477.44,34.6,7079880.0,885.8000000000001,288.23333333333335,291.06666666666666,324.5333333333333,1008.0
2020-09-30,3319.8340625,6996256.214285715,6996256.214285715,0.09276923076923077,0.6454545454545455,33.8,1.2134328358208957,18560.8,21138.57,34.54,7066080.0,515.8333333333334,309.1666666666667,313.43333333333334,344.3,996.0
2020-12-31,3554.5015625,7225935.076923077,7225935.076923077,0.08903225806451612,0.8562121212121212,4.5,0.9419402985074626,18767.8,21477.6,33.92,7199230.0,458.75666666666666,311.0,315.7,346.7,982.0
2021-03-31,3865.7068852459015,7517578.615384615,7517578.615384615,0.07639344262295082,1.3125,6.3,1.4600000000000002,19055.7,22038.23,32.88,7202660.0,677.98,313.5,318.2,347.7,983.0
2021-06-30,4183.62634920635,7900326.538461538,7900326.538461538,0.06875,1.5803076923076922,6.7,1.7593939393939395,19368.3,22740.96,30.49,7290160.0,627.9433333333333,354.2,360.40000000000003,376.5,996.0
2021-09-30,4421.670625,8309389.384615385,8309389.384615385,0.0903125,1.3178787878787879,2.3,1.4235820895522386,19478.9,23202.34,28.48,7682760.0,509.17333333333335,360.40000000000003,367.1333333333334,380.09999999999997,1003.0
